lesson_title,cefr_level,uuid,grammar_tags,vocabulary_tags,learning_language,content_type
Interrogatives,C1,a4845f1a-1566-41b4-bc09-38801e55ecc3,pronoun:interrogative,"phones, emotions_states",English,section
Absolute superlative,B1,e13d14e9-7a6b-497a-a267-2109ce1e747f,"adjective:absolute_superlative, verb:future_tense","space, nations_geography, outdoors, locations_directions, traditions_celebrations",English,cards
Prepositions and pronouns,A2,50a4cd70-dd2c-4078-98f2-68367d800545,"preposition, pronoun:impersonal","non_understanding, week_dates, hobbies_games, love",English,Live
Progressive aspect,B1,25a52fc4-4cb5-41ed-a9a1-bd9c25fef592,verb:progressive_aspect,"materials, university_academia, emotions_states",English,by_yourself
Comparatives,A1,8b5b57f2-d5cc-4cdd-a83e-23735b6106da,"adjective:comparative, adverb","public_transit_trains, locations_directions",English,cards
Irregular verbs,B1,6b05c7ae-f946-400a-913b-a806c2b205ae,"verb:irregular, verb:conditional_mood, noun:definite_form","outdoors, groceries_fruits_vegetables, locations_directions, furniture_decor",English,by_yourself
Syntax,C1,b281b608-15f0-4210-87ca-0a02cfd49586,"sentence:syntax, verb:infinitive","media, religions, money_banking, town_city, emotions_states",English,section
Superlatives,C1,efac531a-3ae3-4442-9f05-591c2bb2677f,"adverb:superlative, determiner:definite_article","love, adulthood",English,Live
Indefinite form,B1,0d084cb2-4479-4d7c-9f73-8af038e3b8c9,noun:indefinite_form,"dishes, bikes",English,Live
Conditional mood,B2,29097552-ab76-461c-a1a4-398c08e41d77,verb:conditional_mood,"university_academia, theater_shows, crime_law, bikes, weather_climate",English,section
Partitive article,A2,d85d7505-c831-4098-b511-da3a62225e20,determiner:partitive_article,"clock_time_of_day, religions, shopping, computers_hardware",English,by_yourself
Adjectives,C1,c7dea7f9-f83d-4102-9899-53dd17dd05f6,adjective,money_banking,English,cards
Adjectives and present,C1,bbddda70-5a1a-47ea-8190-a7751612dab5,"adjective, verb:present_tense",music,English,by_yourself
Participle,C2,91b9eca9-c19d-4273-a87b-0f92c4ab967e,verb:participle,"town_city, literature, numbers, public_transit_trains",English,section
Participle,A2,298c008e-f261-460d-8f5d-ee4ffba69919,"verb:participle, determiner:demonstrative, adverb:comparative","film_tv, job_applications, clock_time_of_day, numbers, hygiene_cosmetics",English,cards
Nouns and prepositions,C1,c46e6b4d-4539-4139-9507-6dda2827edae,"preposition, noun:definite_form, noun:appreciative_derivation","appliances, emotions_states",English,cards
Possessive,C1,3df33171-984f-4d24-aa6e-170e78334c5f,"pronoun:possessive, pronoun:reflexive, determiner:definite_article","media, yard_garden, furniture_decor, space, week_dates",English,section
Modal,B1,22ef96f5-2ead-4a82-a484-943fb64d5f0e,"verb:modal, adjective:comparative","bikes, family",English,section
Dative case,A2,0db514f4-ee45-44da-92ef-e44f545d2f26,"noun:dative_case, sentence:interrogative, pronoun:demonstrative","university_academia, hygiene_cosmetics",English,Live
Gender,B1,98902026-c250-4b18-8fc7-e659161a4103,noun:gender,"old_age, numbers, sweets_desserts, public_transit_trains, literature",English,by_yourself
Conjunctions,C1,2af56ec5-4297-4d34-a023-9cf12c8eb216,"conjunction, sentence:interrogative, verb:participle","computers_hardware, nature_landscapes, furniture_decor",English,cards
Singular,C2,18107e2e-c7a5-4b12-9d70-e8a70663541a,"noun:singular, sentence:interrogative","polite_expressions, planes_airports, dishes, film_tv",English,section
Adverbs and gender,B2,544d50ce-fbe0-4183-8002-0109eefe2508,"adverb, noun:gender, verb:auxiliary","old_age, groceries_fruits_vegetables",English,section
Superlative,A2,67401f0d-bd92-44f3-9438-ef15cc74137b,adverb:superlative,religions,English,section
Direct object,A2,1850efb9-f138-4556-8157-c6a5711d3fe1,"pronoun:direct_object, verb:future_tense","public_transit_trains, family, countryside, traveling",English,cards
Informal pronoun,C2,2a8294ec-ff5b-4e24-8543-c0e6606d809a,"pronoun:informal_pronoun, verb:imperfect_aspect, verb:conditional_mood","measurement_quantities, non_understanding, appliances",English,by_yourself
Appreciative derivation,B1,c08730cc-31eb-4176-929c-63be13f92773,"noun:appreciative_derivation, noun:genitive_case, pronoun:direct_object",business,English,by_yourself
Interjections,C1,aedc0a73-7c5b-4b43-a11e-19e40ebf588d,"interjection, verb:finite","routines_habits, argumentation, traveling, family",English,Live
Progressive aspect,B2,10e50020-073b-4e64-b2c9-373568cfeb94,verb:progressive_aspect,"town_city, beverages, natural_sciences, clothes_shoes, compliments",English,section
Dative case,C1,a2771ca3-6c0d-40f3-aa40-f76355607232,"noun:dative_case, noun:appreciative_derivation, verb:modal","phones, art_design, internet, languages, physical_appearance",English,by_yourself
Definite form,C1,53603f08-84a4-420f-9071-850e4b1b14f5,noun:definite_form,"hygiene_cosmetics, devices_tools_gadgets, groceries_fruits_vegetables, animals_wild",English,section
Interrogative,C1,32f47f16-5008-4b48-9cb5-2b8f6c7a8dda,"sentence:interrogative, preposition","emotions_states, body",English,section
Stressed,C2,53778006-854b-473d-90f5-6b28e94fbf66,pronoun:stressed,"week_dates, phones",English,cards
Gender,B1,a26db710-40e2-4a24-9a47-00fbe216294a,noun:gender,"house_rooms, university_academia, dining_restaurants, body",English,section
Comparative,C2,457daa8a-82b2-4913-a060-929b4587ae8f,adverb:comparative,"public_transit_trains, crime_law, hotels_accomodation",English,section
Numbers,B2,3fd23a82-8b2a-4933-9578-0c7832ae004f,"number_cardinal, noun:dative_case, adjective:comparative","physical_appearance, compliments",English,section
Progressive aspect,C2,011ab78f-a0a5-42b0-97b4-36757221b80d,verb:progressive_aspect,"childhood, space, countryside",English,cards
Finite,C1,b3fcdf4c-14c5-4e1d-928e-53eeb998a4fd,"verb:finite, determiner:indefinite_article, pronoun:stressed",hygiene_cosmetics,English,cards
Participle,C2,ff0685f8-d2d2-4f92-88ed-5e8f3755b675,verb:participle,"film_tv, personality_traits, hygiene_cosmetics, dining_restaurants, art_design",English,by_yourself
Gender,C1,f62148a9-dad7-48fc-864d-f7f63cd66d8d,noun:gender,"nations_geography, theater_shows, groceries_fruits_vegetables, natural_sciences, shopping",English,section
Interrogative,A2,747d6ccc-2f40-418a-b109-555d54d2f041,"sentence:interrogative, verb:auxiliary","measurement_quantities, theater_shows, emotions_states, colors, nations_geography",English,cards
Singular,A2,f6c53906-6605-4c6d-91c9-1e3276e2d2c6,"noun:singular, verb:finite","vacation, accidents_catastrophes, personality_traits, sports_exercise",English,by_yourself
Passive voice,A2,a0007f03-da43-4c80-842c-d232d3e8460c,verb:passive_voice,"shapes, groceries_grains",English,Live
Ordinal numbers,A2,d819f192-1aa5-4100-9f7d-19bcbae78881,number_ordinal,"art_design, hobbies_games, sports_exercise, illness_injury, friends",English,Live
Prepositions and adjectives,A2,c572a027-4112-41be-b38b-9cb4766312f0,"preposition, adjective:superlative, pronoun:possessive","personality_traits, media, outdoors",English,Live
Infinitive,B1,51e6cdf1-ab23-4d6c-ba99-c0aef969cb47,"verb:infinitive, verb:future_tense, noun:plural","dining_restaurants, colors, university_academia",English,Live
Infinitive,C1,b5b8b0c3-6c23-4d2c-a70d-2b567a44d35e,verb:infinitive,"film_tv, shopping, shapes, planes_airports",English,Live
Cardinal numbers and weather,A1,1436814a-b371-4768-8378-73aca62c8a58,"number_cardinal, verb:auxiliary",weather_climate,English,by_yourself
Indefinite form,B1,a9cfc22c-329a-45f1-a434-e714d3517941,"noun:indefinite_form, determiner:indefinite_article, pronoun:personal","literature, theater_shows",English,Live
Prepositions and possessives,B1,dd670ee2-5652-4e1a-a89e-0bacda5a6cf9,"preposition, pronoun:possessive, verb:passive_voice","groceries_fruits_vegetables, dining_restaurants, week_dates",English,section
Nominative case,A2,acb67edf-d9fd-477d-8b88-82e477e59996,noun:nominative_case,"personality_traits, numbers",English,by_yourself
Gender,C1,2e852c48-b151-46fd-a3dd-e73845f3860b,"noun:gender, adjective:superlative","accidents_catastrophes, week_dates, illness_injury",English,cards
Impersonal,C1,946eff57-c96f-4dea-8451-a596354c091a,"pronoun:impersonal, verb:infinitive, verb:finite","music, crime_law, animals_wild",English,by_yourself
Genitive case,A2,ea04c0c6-d4d6-46e8-bff4-094e007eb8d8,"noun:genitive_case, verb:gerund, noun:dative_case","town_city, furniture_decor, colors, plants",English,cards
Plural,C2,d1b025fb-52e3-46ae-8307-d0515afb1ab0,"noun:plural, verb:future_tense","compliments, non_understanding, vacation, polite_expressions, music",English,cards
Plural,A2,a6348819-4d91-4a5d-9944-fa70d72d959f,noun:plural,"love, clock_time_of_day, death, house_rooms, phones",English,by_yourself
Gender,C2,cc0b5a8b-87f0-434b-91d9-e834195766ea,noun:gender,"religions, dining_restaurants, non_understanding, body, weather_climate",English,cards
Finite,C1,b26f9012-d3c7-4236-92f8-bc93cf4d387e,"verb:finite, pronoun:indefinite, noun:accusative_case",nations_geography,English,Live
Indefinite,C2,abb7cf46-e27f-42ef-ba46-659ef6dfb6c0,"pronoun:indefinite, noun:dative_case, sentence:syntax","shapes, space, routines_habits, personality_traits",English,cards
Modal,A2,482c1e0d-146d-4028-bcea-e92038ecb84d,"verb:modal, pronoun:indefinite, noun:gender","film_tv, phones, hygiene_cosmetics, space, bikes",English,Live
Dative case,C2,e18f6c78-8757-4275-9123-6225c4062a56,"noun:dative_case, noun:appreciative_derivation, determiner:definite_article","body, housework, colors",English,cards
Possessive,A1,be3601f6-d3cb-4f9e-8d00-a71cd6dbb954,pronoun:possessive,"religions, body",English,section
Past tense,C2,ed310d0d-019e-46a7-9477-781ddab6e118,"verb:past_tense, verb:imperfect_aspect","measurement_quantities, phones, professions",English,by_yourself
Present tense,C1,f218b2d9-bcd2-4527-86b1-701fc03cd973,"verb:present_tense, adjective:superlative","senses, animals_domesticated, polite_expressions, clothes_shoes",English,section
Dative case,C1,b591ce41-b678-4aec-9cd1-837e22ef51e8,"noun:dative_case, sentence:syntax","colors, old_age, outdoors, weather_climate",English,section
Absolutes and prepositions,A2,2bdfe742-ace2-4078-9bdf-21e13e77addf,"preposition, adjective:absolute_superlative",routines_habits,English,section
Finite,B2,a6bdee42-497e-4b98-adae-cbfb2d715f12,"verb:finite, verb:auxiliary, number_cardinal","countryside, dining_restaurants, cooking_tableware",English,cards
Syntax,C1,bf959451-e408-43eb-88a6-79475dc22747,sentence:syntax,"friends, clock_time_of_day, colors",English,Live
Demonstrative,B1,4c3f7d44-e43e-4c3f-bc80-f2a1a927be21,"determiner:demonstrative, adjective:absolute_superlative","animals_domesticated, materials, dishes, colors, accidents_catastrophes",English,by_yourself
Indefinite form,A2,da2a7de0-950e-4e18-8de0-11a54d43585a,"noun:indefinite_form, determiner:possessive, pronoun:formal_pronoun",physical_appearance,English,section
Present tense,C1,7e3c5173-0851-455d-ab26-f8edcffce4bc,"verb:present_tense, determiner:indefinite_article",dishes,English,by_yourself
Ordinal numbers 2,B1,4dd28f42-a7ce-41d0-93f6-3a68e9f6af89,number_ordinal,"devices_tools_gadgets, clock_time_of_day",English,Live
Superlative,A2,fe3bd60a-23c5-44d2-b811-761990d14eb5,"adjective:superlative, adjective:comparative","art_design, senses, nature_landscapes, appliances, argumentation",English,by_yourself
Stressed,C1,586229fa-1882-4f78-8ec7-30e0d7b87b87,"pronoun:stressed, pronoun:formal_pronoun, noun:nominative_case",theater_shows,English,section
Indefinite,B2,688d96b1-e227-4c09-9041-7b00dec1a7ea,"pronoun:indefinite, verb:participle, determiner:partitive_article","sweets_desserts, friends",English,Live
Definite form,C2,7ab3fae0-3bed-437b-8984-e4c6821494e6,"noun:definite_form, noun:appreciative_derivation",describing_objects,English,Live
